season,market,name,team_code,team_id,alias,division,current_division,wins,losses,ties
2006,University of Tennessee at Martin,Skyhawks,695,9febd5fa-982f-4f40-ad1d-8e49be96cf4f,UTM,1,D1,8,23,0
2006,Belmont University,Bruins,14927,a0a22502-0d84-440c-84af-1fbb070ad54c,BEL,1,D1,23,10,0
2006,Austin Peay State University,Governors,43,a0fdb660-a822-4337-b01d-31c4d2c99c8a,PEAY,1,D1,21,12,0
2006,Mercer University,Bears,406,a14b0057-8eb5-43d2-a33b-666196da933e,MER,1,D1,13,17,0
2006,University of Cincinnati,Bearcats,140,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,CIN,1,D1,11,19,0
2006,Mississippi State University,Bulldogs,430,a1ba4b89-d97c-44e2-835f-79ad3ccaa5ae,MSST,1,D1,21,14,0
2006,Lipscomb University,Bisons,28600,a2b8223d-40b3-4076-b5df-55655c2f8591,LIP,1,D1,18,13,0
2006,High Point University,Panthers,19651,a311188e-1259-4fda-b0ea-c47cb52694b1,HP,1,D1,22,10,0
2006,Fairfield University,Stags,220,a381465b-4530-4a00-a50c-5253cd7695a0,FAIR,1,D1,13,19,0
2006,"Southern University, Baton Rouge",Jaguars,665,a3b13d27-ec14-4a7d-88a2-0bc9f7b58984,SOU,1,D1,10,21,0
2006,Charleston Southern University,Buccaneers,48,a3fef707-e4fc-48a0-82f1-f4ef01b76f45,CHSO,1,D1,8,22,0
2006,Michigan State University,Spartans,416,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,MSU,1,D1,23,12,0
2006,South Carolina State University,Bulldogs,647,a44f8c85-7ab6-4a4e-b6f1-c69a4cabe1ed,SCST,1,D1,13,17,0
2006,Abilene Christian University,Wildcats,2,a52b2ece-1f87-45b5-ae1e-8d0920479965,AC,2,D1,10,16,0
2006,East Carolina University,Pirates,196,a601205f-3bfe-4052-ac0b-b8f18cf3efd3,ECU,1,D1,6,24,0
2006,University of Wyoming,Cowboys,811,a7127c0a-a466-47ae-91ad-9a71ee2c9427,WYO,1,D1,17,15,0
2006,Florida International University,Golden Panthers,231,a8ac24ca-3b7a-4610-ad99-042661584c48,FIU,1,D1,12,17,0
2006,Norfolk State University,Spartans,485,a8f75c12-c4db-401f-99e3-b48209d85274,NORF,1,D1,11,19,0
2006,Central Connecticut State University,Blue Devils,127,a93bf4f2-3724-4539-8c8a-9ac8ee3741a6,CCSU,1,D1,22,12,0
2006,Bowling Green State University,Falcons,71,a9e4d292-d074-40e7-a81a-f9342929b979,BGSU,1,D1,13,18,0
